"id","sid","jname","ename","flist"
61,10,"放射能","Radiation Detox","0.25,0.50,2.75,65.35,105.31,328.21,357.00,405.15,424.65,575.20"
62,10,"電気過敏","Reduce  Electrical Sensitivity","0.657"
63,10,"肝・腎・リンパ・腸管・傷","Detox（Liver~）","0.03,0.54,0.75,0.02,0.24,0.15,0.52,0.44,0.64,0.18"
64,10,"薬の副作用","Adverse Drug Reaction","0.20,0.14,0.33,0.42,0.44,0.55,0.52,0.76,0.78,1.86"
65,10,"自己中毒","Autointoxication","0.522,0.146,1.550,10.00,0.8,0.88,0.787,0.72,0.02"
66,10,"ネガティブエネルギー除去","Reduce Negative Energy","20.08,89.08"
67,11,"リーキーガット","Leaky Gut Syndrome","0.17,0.22,0.47,0.61,109.33,117.88,211.00,360.00,525.71,683.47"
68,11,"セリアック病","Celiac Disease","0.12,0.55,0.85,2.50,20.00,47.50,72.50,125.17,379.93,475.19"
69,11,"即時型アレルギー","Hypersensitivity Atopic","0.04,0.24,0.57,1.92,30.72,57.50,152.01,321.26,669.71,823.01"
70,11,"遅延型アレルギー","Hypersensitivity","0.04,0.37,0.65,0.80,2.50,25.58,52.50,192.50,375.79,925.06"
71,11,"化学物質過敏","Multiple Chemical Sensitivity","0.08,0.37,0.78,8.85,45.50,113.52,241.01,392.50,675.87,812.02"
72,11,"特発性環境アレルギー","Idiopathic Environmental Allergy","0.08,0.37,0.78,8.85,45.50,113.52,241.01,392.50,675.87,812.02"
73,11,"ラテックスアレルギー","Latex Hypersensitivity","0.15,0.23,0.65,0.93,7.50,11.09,52.50,172.51,383.50,516.52"
74,11,"アナフィラキシー反応","Anaphylacitic Reaction","0.14,0.75,2.50,65.00,87.30,236.42,400.00,561.93,714.82,978.05"
75,12,"味覚障害","Taste Disorder","0.16,5.50,20.00,37.50,96.50,312.33,475.15,527.00,662.71,789.00"
76,12,"歯周病","Periodontal Disease","0.06,0.32,0.73,0.87,12.33,15.00,85.54,150.00,225.36,575.83"
77,12,"歯の削不良","Teeth Grinding Disorder","0.08,0.32,20.00,85.03,150.00,225.00,219.34,453.72,515.15,683.00"
78,12,"口内炎","Stomatitis Aphthous","0.05,0.41,0.80,5.17,42.50,119.34,357.30,527.00,662.71,789.00"
79,13,"耳鳴り","Tinnitus","0.07,0.24,0.57,87.50,175.16,322.06,476.50,667.00,742.00,985.67"
80,13,"聴覚","Hearing Disorder","0.04,0.50,0.93,2.25,5.29,30.00,142.50,350.00,422.06,775.29"
81,13,"耳炎","Otitis","0.10,0.52,0.78,0.80,2.25,5.26,167.50,352.52,845.47,922.53"
82,14,"大脳","Brain Disorder","0.04,0.25,0.46,0.32,0.52,0.75,42.50,87.50,132.41,376.29"
83,14,"尾状核","Huntington Disease","0.15,0.23,0.75,3.85,52.25,177.25,400.00,563.19,642.91,976.90"
84,14,"青班核","Narcolepsy","0.14,0.57,0.73,7.50,2.50,50.00,187.50,455.30,672.23,775.87"
85,14,"視床","Thalamic Disease","0.02,0.22,25.00,55.75,125.00,229.32,450.00,515.16,712.81,993.41"
86,14,"脳動脈瘤","Cerebral Aneurysm","0.08,0.24,0.57,7.50,10.72,36.21,142.50,321.00,415.70,775.68"
87,14,"脳血管障害","Cerebrovascular Disorders","0.08,0.25,0.70,0.85,7.50,17.50,185.75,350.00,425.17,510.50"
88,14,"脳血管痙縮","Vasospasm Intracranial","0.19,0.26,0.57,7.50,12.69,35.33,322.06,425.71,564.28,930.12"
89,14,"一過性脳虚血","Ischemic Attack","0.17,0.40,0.62,0.85,2.50,25.00,109.32,362.57,621.68,775.67"
90,14,"半身麻痺","Hemiplegia","0.11,0.49,0.78,2.25,77.50,102.71,262.50,455.91,837.50,910.50"
91,14,"脳卒中","Cerebral Stroke","0.09,0.12,0.62,15.17,96.50,225.00,425.16,571.00,841.00,937.41"
92,14,"てんかん","Epilepsy","0.07,0.18,0.73,0.87,5.71,7.25,22.50,97.50,375.35,500.00,655.20,751.87,932.41"
93,15,"鼻硬腫","Rhinoscleroma","0.08,0.24,0.63,7.82,32.25,67.50,155.29,391.02,415.70,726.07"
94,15,"副鼻孔炎","Sinusitis","0.11,0.40,0.83,5.50,25.00,125.17,225.75,475.19,527.00,662.71"
95,15,"嗅覚障害","Smell Disorders","0.11,0.49,0.57,13.39,5.25,20.00,60.00,35.52,93.50,315.70"
96,16,"緑内障","Glaucoma","0.16,0.55,0.95,5.29,7.25,32.50,137.50,326.07,490.00,515.70"
97,16,"白内障","Cataract","0.03,0.41,15.19,87.50,122.06,312.33,532.41,655.20,750.00,927.10"
98,17,"瘢痕","Scar","0.0059"
99,17,"ケロイド","Keloid","	0.10,0.50,0.78,0.85,5.62,37.50,131.98,285.00,624.11,881.19"
100,17,"外傷","Wound&Injuries","0.16,0.25,0.62,7.00,12.71,35.00,90.00,410.25,560.00,714.82"
101,17,"腹部ヘルニア","Hernia","0.14,0.22,0.73,13.39,5.58,150.00,475.85,736.42,819.34,915.70"
102,17,"炎症","Inflammation","0.08,0.12,0.60,0.80,2.50,30.98,103.00,362.50,692.01,825.00"
103,17,"癒着性関節包炎","Capsulitis Adhesive","0.06,0.23,20.00,62.50,125.75,150.00,357.30,532.41,653.69,759.83"
104,17,"半月板","Meniscus Tear","0.19,0.68,10.02,31.23,127.76,309.60,436.09,463.97,502.93,651.82"
105,17,"筋肉の修復","Muscle","0.0135"
106,17,"長期間の物理的ストレスによる組織疲労(褥瘡)","Bedsore","0.18,0.62,0.93,12.76,47.23,187.50,271.50,571.34,622.53,864.00"
107,18,"心中隔欠損症","Heart Septal Defects","0.14,0.22,0.65,5.29,7.85,51.02,167.50,324.37,551.03,725.52"
108,18,"動脈硬化","Arteriosclerosis","0.07,0.73,5.00,7.25,92.50,352.93,451.17,519.68,684.81,712.81"
109,18,"コレステロール塞栓","Embolism Cholesterol","0.05,0.57,0.92,2.53,12.34,53.02,78.30,158.30,257.02,410.00"
110,18,"血栓症","Thrombosis","0.14,0.49,0.73,0.95,7.50,2.50,20.00,112.33,376.29,534.25"
111,18,"血管疾患","Vascular Disease Peripheral","0.07,0.22,0.73,75.25,117.22,237.02,451.90,561.51,698.10,812.77"
112,18,"血管の修復","Vascular","0.0152"
113,18,"リンパ・血液の循環","Lymph","0.676,0.0152,0.337,0.017"
114,19,"骨折","Bone Fractures","0.13,0.57,0.78,0.93,32.50,217.50,552.71,743.01,815.91,913.52"
115,19,"椎間板","Intervertebral Disk Displacement","0.04,0.41,0.62,7.50,2.75,40.00,275.65,475.68,527.00,667.00"
116,19,"人工物のインプラント","Prosthesis Implantation","0.10,0.52,0.87,3.20,15.89,32.75,132.00,437.50,525.83,725.31"
117,19,"神経原性関節症","Arthropathy Neurogenic","0.11,5.33,7.00,15.00,125.00,350.00,425.00,571.00,828.00,932.00"
118,19,"腱障害","Tendinopathy","0.30,12.71,50.00,150.00,358.57,479.50,527.00,662.71,749.00,986.22"
119,19,"反応性関節炎","Arthritis Reactive","0.06,0.65,0.80,5.81,42.50,398.40,410.00,571.00,828.00,937.41"
120,19,"変形性関節症","Osteoarthritis","0.06,0.41,0.87,7.50,8.00,77.50,187.50,358.81,721.00,986.22"
