"id","sid","jname","ename","flist"
227,32,"フソバクテリウム感染症","Fusobacterium Infections","0.19,0.18,0.75,9.00,11.09,22.50,47.50,115.70,377.91,470.12"
228,32,"クレブシエラ","Klebsiella Infections","0.13,0.41,0.65,0.97,7.50,10.47,398.45,401.00,404.65,419.00"
229,32,"猫引っかき病(バルトネラ)","Bartonella Infections","0.07,0.12,1.63,20.00,40.00,134.25,357.77,510.25,752.63,923.70"
230,32,"デュクレイ菌","Chancroid","0.24,0.70,7.50,72.50,119.34,324.37,515.70,682.02,754.19,941.00"
231,32,"インフルエンザ菌","Haemophilus influenzae","0.05,0.37,0.83,2.50,3.00,73.30,95.75,175.00,269.71,336.41"
232,32,"赤痢","Shigella Infections","3.00,73.30,95.75,175.00,269.71,318.00,390.09,394.00,426.22,512.81"
233,33,"トリコモナス","Trichomonas Infections","0.17,0.62,2.75,15.75,42.50,62.50,97.50,357.30,712.23,997.87"
234,33,"原虫","Protozoan  Infections","0.02,0.23,0.85,5.71,55.83,172.50,317.50,663.50,725.31,853.02"
235,33,"アメーバ症","Amebiasis","0.52,2.50,40.00,95.00,376.29,476.50,527.00,665.34,752.70,987.23"
236,33,"ランブル鞭毛虫","Lambliasis","0.05,0.35,0.60,0.87,2.25,5.29,55.47,97.50,324.37,425.52"
237,33,"ファシオロプシスブスキー","Parasite Fasciolopsisi Buskii adult and egg","0.68,0.90,2.50,5.50,13.93,93.50,386.40,427.70,435.10,434.00,427.35,435.45"
238,34,"ブルセラ症","Brucellosis","0.05,35.75,60.00,93.50,225.15,454.34,517.50,687.62,712.00,992.00"
239,34,"緑膿菌","Pseudomonas","0.06,0.23,8.85,45.25,115.30,215.31,437.50,662.50,825.34,917.03"
240,34,"百日咳","Pertussis","0.10,0.35,0.95,13.61,27.50,47.50,60.00,110.25,425.05,932.00"
241,34,"レジオネラ","Legionella","0.19,0.23,0.85,2.50,32.50,192.28,391.28,562.50,725.69,975.23"
242,34,"大原病(野兎病)","Tularemia","0.06,0.32,2.25,32.50,67.50,97.50,96.50,150.00,682.02,752.63"
243,35,"クリプトコッカス","Cryptococcosis","0.97,1.12,17.75,51.20,131.02,217.50,517.50,653.00,772.29,956.03"
244,35,"ヒストプラズマ症","Histoplasmosis","0.07,0.23,0.83,2.50,13.93,12.71,55.56,93.50,375.87,426.90"
245,35,"接合菌症","Zygomycosis","0.14,0.49,0.73,0.95,97.50,175.33,476.50,527.00,667.00,752.70"
246,35,"アスペルギルス症","Aspergillosis","0.12,0.83,5.00,7.25,37.50,357.30,434.25,563.19,709.83,978.05"
247,35,"カンジタ症","Candidiasis","0.18,0.93,2.50,42.50,71.50,96.50,125.75,434.00,642.91,983.17"
248,35,"でんぷう菌","Tinea  versicolor","0.05,0.41,0.60,0.85,350.00,479.50,527.00,663.71,752.70,987.23"
249,35,"白癬菌","Trichophytosis","0.05,0.41,22.50,57.50,325.16,476.50,527.00,667.00,749.00,986.22"
250,36,"根","Root","0.39"
251,36,"仙骨","Sacral","0.4"
252,36,"太陽","Solar","0.43"
253,36,"心臓","Heart","0.65"
254,36,"喉","Throat","6.87"
255,36,"第三の目","３rd Eye","7.93"
256,36,"王冠","Crown","8.33"
257,36,"松果体","Pineal","8.48"
258,36,"下垂体","Pituitary","8.63"
259,36,"王冠の花弁","Crown Lotus","8.82"
260,37,"不安","Anxiety","0.08,0.62,0.87,5.81,225.00,423.07,572.00,727.33,841.12,903.91"
261,37,"恐怖症","Phobia School","0.02,0.23,0.65,16.95,73.50,120.53,355.54,607.59,816.51,979.93"
262,37,"うつ","Depression","0.14,0.22,0.62,7.50,15.50,41.09,465.69,597.50,722.70,875.9"
263,37,"双極性障害","Bipolar Disorder","0.16,0.80,7.50,30.00,67.50,125.00,352.93,563.19,642.91,930.12"
265,37,"睡眠障害","Sleep Disorder","0.13,0.40,0.62,42.50,57.50,92.50,175.00,475.17,527.00,667.00"
266,37,"循環気質","Cyclothymic Disorder","0.15,0.23,0.60,0.95,7.50,18.30,155.03,517.50,696.50,893.00"
267,37,"分離性ヒステリー","Hysteria Dissociative","0.11,0.49,0.97,17.30,29.50,422.50,602.50,715.31,803.50,924.37"
268,37,"心気症","Hypochondriasis","0.03,0.50,0.85,7.50,8.00,127.50,235.58,525.79,725.00,825.79"
269,37,"心配","worry","6.13"
270,37,"病気による落ち込み","worry Illness","0.664,0.764"
271,37,"脅迫観念,神経症","Obsessive Compulsive Disorder","0.19,0.75,1.42,5.25,25.51,42.57,162.21,492.83,671.51,808.53"
272,37,"脳のバランス","Brain Disorder","0.04,0.25,0.46,0.32,0.52,0.75,42.50,87.50,132.41,376.29"
273,37,"統合失調症","Schizophrenia","0.07,0.50,0.97,9.00,12.85,132.50,337.50,524.37,758.57,955.72"
274,37,"精神病","Psychotic Disorder","0.57,0.68,0.87,2.50,5.71,32.50,92.50,322.53,519.34,653.69"
275,37,"依存症(薬、一般)","Addiction","0.28,0.35,0.47,1.88,4.34,5.20,43.42,143.04,234.04,343.45"
276,37,"霊性","Spirit","1.565"
277,37,"ネガティブエネルギーの除去","Remove negative Energy","20.08,89.08"
278,38,"脳腫瘍","Cancer Brain Tumor","0.04,0.02,0.03,5.03,119.34,350.00,434.33,691.27,759.83,927.10"
279,38,"乳がん","Cancer Breast","0.02,0.46,5.12,27.50,85.00,95.75,150.00,434.71,682.45,753.07"
280,38,"骨肉種","Cancer Bone","0.57,0.83,2.85,32.50,97.50,322.53,434.42,566.41,835.96,978.85"
281,38,"肝臓がん","Cancer Liver","0.11,0.52,81.30,135.71,221.50,434.50,570.51,691.51,775.48,971.55"
282,38,"肺がん(大)","Cancer Lung","0.05,0.41,0.62,15.75,87.50,434.00,512.33,655.20,750.00,927.10"
283,38,"食道がん","Cancer Esophageal","0.05,0.52,0.60,0.93,12.69,125.00,260.71,434.03,301.00,812.20"
284,38,"胃腸がん","Cancer Gastric","0.05,0.52,0.60,0.93,12.69,125.00,269.71,434.03,571.00,839.00"
285,38,"直腸腸がん","Cancer Rectal","0.46,27.50,17.50,37.50,85.00,95.75,150.00,434.00,571.00,840.00"
286,38,"膀胱がん","Cancer Urinary Bladder","0.08,5.75,7.25,50.00,97.50,210.50,434.37,655.20,750.00,927.10"
287,38,"腎臓がん","Kideny Cancer","0.13,0.57,0.78,12.27,68.29,135.25,272.72,434.53,733.91,836.42"
288,38,"血管腫","Hemangioma","0.15,0.24,0.70,0.83,2.50,17.50,432.50,555.91,625.29,775.52"
289,38,"多発性骨髄腫","Multiple Myeloma","0.06,0.35,0.62,0.97,12.50,27.50,142.50,325.87,623.01,815.58"
290,38,"子宮がん","Cancer Uterine","0.04,0.40,0.78,5.29,7.50,37.00,95.50,434.00,792.00,985.67"
291,38,"前立腺がん","Cancer Prostate","0.13,0.57,0.83,2.25,97.50,325.71,434.16,527.00,667.00,742.00"
292,38,"過誤腫","Hamartoma Syndrome","0.06,0.26,0.68,9.00,10.89,45.91,125.29,526.16,652.43,750.00"
293,38,"肉腫","Cancer Sarcoma General","1.97,2.04,2.10,2.49,3.17,5.00,5.57,10.24,13.72,15.61,10.00,6.00,5.00,3.17,2.49,2.04,2.10,1.97,2.04,8.03"
294,38,"腺腫","Adenoma","0.04,5.81,22.50,52.50,224.37,434.00,527.00,667.00,721.00,987.23"
295,38,"全身転移","Metastasis","0.10,0.61,7.67,32.00,225.03,434.15,527.00,662.71,712.00,750.00"
296,38,"メラノーマ","Cancer Melanoma","0.49,0.70,32.80,102.25,212.75,321.20,434.00,545.68,795.61,857.7"
297,38,"未分化がん","Carcinoma, Undifferentiated","0.13,0.23,0.73,0.83,5.12,7.25,32.50,90.00,175.75,434.53"
298,38,"残余がん","Residual Cancer","0.61,15.90,52.81,62.71,97.53,248.00,434.50,524.37,601.27,781.09"
299,38,"皮膚がん","Cancer Skin","0.15,2.12,20.00,45.15,73.30,96.50,125.00,375.75,434.33,563.19"
3000,39,"カスタム1","Custom1","0,0,0,0"
